to_postcode,to_country_id
05025010,32
05025-010,32
05025-020,64
05026001,32
05026-001,96
05027000,64
05027-000,96
05027020,32
05027-020,32
05028-000,32
05028-110,32
05028-140,32
05029-060,32
05030-020,160
05030030,32
05033-001,64
05033-070,128
05033080,32
05033-080,192
05036-165,96
05036170,32
05036-170,64
05037001,32
05037-001,32
05037-055,32
05041000,32
05041-000,96
05041-001,32
05043020,32
05043-020,32
05044000,32
05044-040,32
05045-020,32
05046000,32
05046-001,32
05047000,32
05047-000,96
05047-010,32
05047060,96
05048-060,32
05050060,32
05050090,64
05051000,32
05051030,32
05051-030,32
05052-010,32
05053-070,32
05054-000,32
05054010,64
05054-010,96
05054020,96
05054040,64
05054-040,32
05054060,64
05054-060,32
05056-001,64
05056020,64
05056-020,32
05057-100,32
05058-010,96
05058-020,288
05060-030,32
05060-050,32
05061-050,32
05069020,32
05069900,32
05075-000,64
05075-010,32
05076010,32
05076020,64
05076050,32
05077-010,32
05081060,32
05081-090,32
05082001,64
05083-010,96
05083060,32
05083120,64
05083130,64
05084020,32
05085000,32
05085010,32
05087000,64
05088000,32
05088-000,32
05088-030,32
05089-030,32
05092040,64
05092-040,96
05095-000,32
05095-020,32
05101200,64
05101210,32
05101-210,64
05101240,32
05102-010,32
05103-060,32
05107000,32
05109-100,64
05116-090,128
05124-010,32
05124-070,32
05125-040,32
05128000,32
05131-000,32
05134-160,32
05142-020,32
05143300,32
05144-085,32
05145000,32
05145-000,32
05145-100,32
05159420,32
05161-100,64
05164-085,160
05170-120,32
05171160,64
05171500,32
05171560,32
05171700,32
05171900,32
05172-185,32
05182000,64
05182-000,32
05183-120,32
05186-005,64
05201-170,32
05202-120,32
05202140,32
05202-140,32
05206020,32
05223-070,64
05223-090,32
05240090,32
05265-050,32
05271-000,32
05301000,32
05301-000,32
05302001,96
05302030,64
05302-030,32
05302051,64
05302-060,32
05302-905,32
05303000,64
05303-000,160
05305002,32
05305011,32
05311000,32
05314-010,32
05315-030,96
05319000,64
05319-000,32
05323-001,32
05324000,64
05324-000,32
05325070,96
05328000,32
05334-040,32
05336010,64
05337-040,64
05337-080,32
05337090,32
05337-090,32
05338-100,32
05343070,64
05345-000,96
05346-000,32
05346040,64
05346-040,32
05346-903,32
05347-030,64
05350000,32
05351000,64
05351-015,32
05351025,32
05351-025,32
05351035,160
05351-035,32
05353160,32
05353240,64
05356000,32
05356-000,32
05363-101,32
05363-901,32
05365-040,32
05365-130,64
05366-150,32
05376100,32
05386360,64
05396040,32
05396-230,32
05396316,32
05396320,32
05396400,32
05401-150,32
05402-000,64
05403-010,64
05404004,64
05404012,32
05405000,32
05405-000,32
05407050,32
05409000,64
05409-000,96
05409-002,32
05409003,32
05409-003,64
05409-011,32
05410-000,96
05410002,96
05410-002,64
05410020,32
05410-020,32
05411000,64
05411-000,64
05411001,32
05411-001,192
05412-000,32
05412002,32
05412004,32
05412-004,32
05413000,160
05413-000,64
05413-001,64
05414001,32
05414011,96
05414025,96
05414-025,32
05415001,32
05415-030,32
05415050,32
05415-050,96
05416001,32
05417000,64
05417-001,64
05417-002,128
05417-012,96
05417-020,32
05417-070,32
05418-000,32
05418-040,96
05419000,32
05420-000,32
05420-010,32
05421-000,32
05422020,32
05422050,32
05422-070,96
05423-000,32
05424-150,64
05425001,32
05425070,32
05426-200,32
05427010,64
05427020,32
